confuctivity	time	label_number	width	height	number of pixels	mean_intensity	w_h_ratio
78.0	371	2	18	2	372	5634	0.1111111111111111
78.0	371	4	14	3	265	4696	0.21428571428571427
78.0	372	2	2	2	422	6084	1.0
78.0	373	1	22	2	302	5015	0.09090909090909091
78.0	373	2	22	5	562	9636	0.22727272727272727
78.0	373	3	19	3	308	4909	0.15789473684210525
78.0	373	26	1	2	208	3416	2.0
78.0	374	2	22	2	456	7431	0.09090909090909091
78.0	374	14	3	1	402	6957	0.3333333333333333
78.0	374	21	18	1	265	3763	0.05555555555555555
78.0	375	1	4	1	910	16417	0.25
78.0	375	3	20	1	314	5169	0.05
78.0	375	4	34	15	1248	25006	0.4411764705882353
78.0	375	9	2	4	361	5315	2.0
78.0	375	25	4	3	426	7005	0.75
78.0	377	1	39	1	2887	64729	0.02564102564102564
78.0	377	4	17	3	258	4102	0.17647058823529413
78.0	377	20	18	4	357	5392	0.2222222222222222
78.0	377	30	3	1	304	5912	0.3333333333333333
78.0	378	1	20	1	706	12953	0.05
78.0	378	7	32	1	595	11167	0.03125
78.0	378	9	1	6	697	13894	6.0
78.0	378	34	18	5	511	10174	0.2777777777777778
78.0	379	1	47	4	1508	27626	0.0851063829787234
78.0	379	2	4	1	286	4632	0.25
78.0	379	29	20	2	257	4771	0.1
78.0	379	57	7	4	211	3697	0.5714285714285714
78.0	380	1	31	3	460	7610	0.0967741935483871
78.0	380	2	2	3	476	8479	1.5
78.0	380	5	2	2	601	8326	1.0
78.0	380	19	26	1	433	7111	0.038461538461538464
78.0	380	23	19	39	347	6962	2.0526315789473686
78.0	381	1	1	1	383	6894	1.0
78.0	381	2	23	1	484	9810	0.043478260869565216
78.0	381	4	1	1	298	5304	1.0
78.0	381	7	30	5	1152	20385	0.16666666666666666
78.0	381	15	11	1	571	9807	0.09090909090909091
78.0	382	1	18	4	363	5607	0.2222222222222222
78.0	382	2	29	2	1266	23252	0.06896551724137931
78.0	382	19	18	2	705	11940	0.1111111111111111
78.0	382	38	7	3	385	7278	0.42857142857142855
78.0	382	44	3	3	264	4551	1.0
78.0	383	2	1	3	1668	33997	3.0
78.0	383	3	5	5	340	6969	1.0
78.0	383	5	12	3	314	5322	0.25
78.0	383	11	14	3	319	6857	0.21428571428571427
78.0	383	44	14	2	272	5648	0.14285714285714285
78.0	384	2	24	3	660	11944	0.125
78.0	384	8	5	4	291	5368	0.8
78.0	384	11	1	1	586	10169	1.0
78.0	384	16	31	1	599	11337	0.03225806451612903
78.0	385	3	4	3	515	9234	0.75
78.0	385	8	10	4	413	7678	0.4
78.0	385	12	5	4	229	3800	0.8
78.0	385	18	5	4	315	5962	0.8
78.0	385	19	12	1	260	5361	0.08333333333333333
